WFP Advanced Disaster Analysis & Mapping
c2cd7ab4-da41-48ec-aaec-2a0c38a0218f,China: Cyclone - Category 1 - Jul 2023
11c01722-2d88-48b3-bb3a-ee54861bcd6f,China: Cyclone - Tropical storm - Jul 2023
b4dfe0f5-65a8-4e05-ba66-9b2d306f2277,Aruba: Cyclone - Tropical storm - Jun 2023
3af285ed-2a0b-4e93-9fcc-3560b4191e2f,India: Cyclone - Tropical storm - Jun 2023
8dda3ee9-10a9-46e9-8379-94d747b36ef6,Bangladesh: Cyclone - Tropical storm - Jun 2023
a3418ff6-6a57-4bf8-9eca-a87ceb1ccf00,Guam: Cyclone - Tropical storm - Jun 2023
e45b9caa-9dba-45bc-93c7-d88deb017554,Myanmar: Cyclone - Category 3 - May 2023
2b416d3c-2808-4b22-b856-95b31ba5a7a7,Madagascar: Cyclone - Category 1 - Mar 2023
8653835f-4b3e-4bb4-afa9-28e4a928d5b9,Vanuatu: Cyclone - Category 2 - Mar 2023
1273aa30-6af3-4075-9532-cf5f93518aa1,Vanuatu: Cyclone - Tropical storm - Mar 2023
3931bb8b-332a-4449-b989-bb7d75fcfb73,Madagascar: Cyclone - Tropical storm - Jan 2023
